DoubleHashingTable.txt
[0 519029.73462603864]
[1 262196.6774132812]
[2 108677.6064257389]
[3 617005.6588528327]
[4 537505.3961291119]
[5 734164.0198488025]
[6 458796.7948163378]
[7 868402.2929982621]
[8 500212.53105276264]
[9 804533.2884981475]
[10 201369.19927766337]
[11 843314.6079769313]
[12 92585.6507659855]
[13 538729.6332499095]
[14 470388.0243254339]
[15 441974.1293422795]
[16 749724.2696988272]
[17 495052.1252526004]
[18 460769.8176547395]
[19 25964.438096399746]
[20 906405.3271668652]
[21 234772.85698498297]
[22 193457.59522172844]
[23 268711.45088893705]
[24 179344.3551037401]
[25 978832.8865695832]
[26 212922.87405257454]
[27 789549.7933147699]
[28 236353.75367025996]
[29 323735.67369848076]
[30 567502.8521899715]
[31 239570.29502717196]
[32 275968.7056545967]
[33 787228.8937988908]
[34 404183.5972581026]
[35 424547.45276680955]
[36 141254.58577335498]
[37 164785.16257326532]
[38 412896.38344695984]
[39 870225.4310385971]
[40 529236.2024280459]
[41 34643.25480687507]
[42 169617.25128736428]
[43 928352.8000524599]
[44 925283.8471676406]
[45 234993.85934356044]
[46 139922.45540832487]
[47 991231.7466760254]
[48 599497.9210523897]
[49 549140.7763880157]
[50 868259.7125388384]
[51 610077.9365303157]
[52 458332.8573101529]
[53 611838.7338007223]
[54 541585.0653360684]
[55 169402.55399253726]
[56 507017.16612097615]
[57 471079.675809986]
[58 822512.7371930864]
[59 842081.3017524848]
[60 480763.6900617895]
[61 251544.46057268154]
[62 356842.56899829797]
[63 671247.3027022996]
[64 683469.5776879356]
[65 185461.3922732385]
[66 38029.500890504205]
[67 412570.91432170756]
[68 449726.0579234809]
[69 903281.9089589169]
[70 164285.09037256672]
[71 160771.43935427457]
[72 358662.82937797887]
[73 100181.04906620999]
[74 477860.24271793186]
[75 901182.5964520852]
[76 675769.7664021195]
[77 556727.0276016012]
[78 500289.17042379815]
[79 382163.4006002865]
[80 884831.6876408372]
[81 97833.36719786374]
[82 306654.09553571686]
[83 587298.7955146189]
[84 415585.13303667645]
[85 185025.5497743991]
[86 419514.3619881954]
[87 29074.978838488943]
[88 56618.45168239882]
[89 701851.0812882897]
[90 180479.43467637646]
[91 635188.8658490223]
[92 973834.0156167737]
[93 574317.1950704014]
[94 821814.7277944043]
[95 269797.54851366335]
[96 986503.0436029348]
[97 497924.15849895246]
[98 387555.3270459535]
[99 762400.9241227468]
